Thread 0 removes: JOB ID: 67, restart time = 293, End time = 318, Priority = 5, Remaining Time = 38
Thread 0 removes: JOB ID: 63, restart time = 318, End time = 343, Priority = 5, Remaining Time = 44
Thread 0 removes: JOB ID: 67, restart time = 343, End time = 368, Priority = 5, Remaining Time = 13
Thread 0 removes: JOB ID: 63, restart time = 368, End time = 393, Priority = 5, Remaining Time = 19
Thread 0 removes: JOB ID: 67, restart time = 393, End time = 406, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 63, restart time = 406, End time = 425, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 65, Start time = 425, End time = 447, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 61, Start time = 447, End time = 472, Priority = 7, Remaining Time = 57
Thread 0 removes: JOB ID: 64, Start time = 472, End time = 497, Priority = 7, Remaining Time = 30
Thread 0 removes: JOB ID: 61, restart time = 497, End time = 522, Priority = 7, Remaining Time = 32
Thread 0 removes: JOB ID: 64, restart time = 522, End time = 547, Priority = 7, Remaining Time = 5
Thread 0 removes: JOB ID: 61, restart time = 547, End time = 572, Priority = 7, Remaining Time = 7
Thread 0 removes: JOB ID: 64, restart time = 572, End time = 577, Priority = 7, Remaining Time = 0
Thread 0 removes: JOB ID: 59, Start time = 577, End time = 597, Priority = 9, Remaining Time = 0
Thread 0 removes: JOB ID: 60, Start time = 597, End time = 602, Priority = 9, Remaining Time = 0
Producing: JOB Id = 69, Burst Time = 78, Remaining Time = 78, Priority = 4 (Jobs Produced = 70, Jobs in buffer = 1)
Producing: JOB Id = 70, Burst Time = 11, Remaining Time = 11, Priority = 1 (Jobs Produced = 71, Jobs in buffer = 2)
Producing: JOB Id = 71, Burst Time = 84, Remaining Time = 84, Priority = 9 (Jobs Produced = 72, Jobs in buffer = 3)
Producing: JOB Id = 72, Burst Time = 22, Remaining Time = 22, Priority = 9 (Jobs Produced = 73, Jobs in buffer = 4)
Producing: JOB Id = 73, Burst Time = 10, Remaining Time = 10, Priority = 8 (Jobs Produced = 74, Jobs in buffer = 5)
Producing: JOB Id = 74, Burst Time = 26, Remaining Time = 26, Priority = 5 (Jobs Produced = 75, Jobs in buffer = 6)
Producing: JOB Id = 75, Burst Time = 14, Remaining Time = 14, Priority = 9 (Jobs Produced = 76, Jobs in buffer = 7)
Producing: JOB Id = 76, Burst Time = 52, Remaining Time = 52, Priority = 3 (Jobs Produced = 77, Jobs in buffer = 8)
Producing: JOB Id = 77, Burst Time = 87, Remaining Time = 87, Priority = 5 (Jobs Produced = 78, Jobs in buffer = 9)
Producing: JOB Id = 78, Burst Time = 39, Remaining Time = 39, Priority = 1 (Jobs Produced = 79, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 70, Start time = 0, End time = 11, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 78, Start time = 11, End time = 36, Priority = 1, Remaining Time = 14
Thread 0 removes: JOB ID: 78, restart time = 36, End time = 50, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 76, Start time = 50, End time = 102, Priority = 3, Remaining Time = 0
Thread 0 removes: JOB ID: 69, Start time = 102, End time = 180, Priority = 4, Remaining Time = 0
Thread 0 removes: JOB ID: 77, Start time = 180, End time = 205, Priority = 5, Remaining Time = 62
Thread 0 removes: JOB ID: 74, Start time = 205, End time = 230, Priority = 5, Remaining Time = 1
Thread 0 removes: JOB ID: 77, restart time = 230, End time = 255, Priority = 5, Remaining Time = 37
Thread 0 removes: JOB ID: 74, restart time = 255, End time = 256, Priority = 5, Remaining Time = 0
Thread 0 removes: JOB ID: 73, Start time = 256, End time = 266, Priority = 8, Remaining Time = 0
Thread 0 removes: JOB ID: 71, Start time = 266, End time = 291, Priority = 9, Remaining Time = 59
Thread 0 removes: JOB ID: 72, Start time = 291, End time = 313, Priority = 9, Remaining Time = 0
Thread 0 removes: JOB ID: 75, Start time = 313, End time = 327, Priority = 9, Remaining Time = 0
Producing: JOB Id = 79, Burst Time = 41, Remaining Time = 41, Priority = 5 (Jobs Produced = 80, Jobs in buffer = 1)
Producing: JOB Id = 80, Burst Time = 66, Remaining Time = 66, Priority = 8 (Jobs Produced = 81, Jobs in buffer = 2)
Producing: JOB Id = 81, Burst Time = 9, Remaining Time = 9, Priority = 8 (Jobs Produced = 82, Jobs in buffer = 3)
Producing: JOB Id = 82, Burst Time = 56, Remaining Time = 56, Priority = 0 (Jobs Produced = 83, Jobs in buffer = 4)
Producing: JOB Id = 83, Burst Time = 92, Remaining Time = 92, Priority = 0 (Jobs Produced = 84, Jobs in buffer = 5)
Producing: JOB Id = 84, Burst Time = 45, Remaining Time = 45, Priority = 4 (Jobs Produced = 85, Jobs in buffer = 6)
Producing: JOB Id = 85, Burst Time = 61, Remaining Time = 61, Priority = 4 (Jobs Produced = 86, Jobs in buffer = 7)
Producing: JOB Id = 86, Burst Time = 60, Remaining Time = 60, Priority = 6 (Jobs Produced = 87, Jobs in buffer = 8)
Producing: JOB Id = 87, Burst Time = 7, Remaining Time = 7, Priority = 1 (Jobs Produced = 88, Jobs in buffer = 9)
Producing: JOB Id = 88, Burst Time = 36, Remaining Time = 36, Priority = 5 (Jobs Produced = 89, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 82, Start time = 0, End time = 25, Priority = 0, Remaining Time = 31
Thread 0 removes: JOB ID: 83, Start time = 25, End time = 50, Priority = 0, Remaining Time = 67
Thread 0 removes: JOB ID: 82, restart time = 50, End time = 75, Priority = 0, Remaining Time = 6
Thread 0 removes: JOB ID: 83, restart time = 75, End time = 100, Priority = 0, Remaining Time = 42
